,ville_raw,quartier_raw,price_raw,room_nb_raw,bedroom_nb_raw,surface_raw
2526,Paris 13ème,Dunois-Bibliothèque-Jeanne-d'Arc,745400,3,2,61.0
2527,Paris 16ème,Auteuil Nord,1608000,4,3,105.6
2528,Paris 4ème,Arsenal,3200000,3,2,89.13
2529,Paris 18ème,Clignancourt-Jules Joffrin,965000,3,1,79.86
2531,Paris 16ème,Muette Nord,5600000,6,3,200.0
2532,Paris 16ème,Muette Nord,6500000,8,4,453.0
2533,Paris 14ème,Raspail-Montparnasse,2000000,4,3,114.0
2534,,,1290000,3,2,71.0
2537,,,1100000,3,1,83.49
2538,Paris 15ème,Vaugirard-Parc des Expositions,450000,2,1,47.0
2543,Paris 15ème,Citroën-Boucicaut,389000,2,1,39.46
2544,Paris 15ème,Cambronne-Garibaldi,495000,2,1,57.0
2545,Paris 16ème,Chaillot,1550000,5,3,115.45
2546,Paris 16ème,Porte Dauphine,1690000,5,3,129.57
2547,Paris 8ème,Elysées-Madeleine,759000,3,2,49.06
2548,,,7995000,7,4,316.56
2549,Paris 16ème,Muette Nord,1390000,5,2,108.2
2550,Paris 8ème,Triangle d'Or,5500000,7,4,272.0
2551,Paris 16ème,Porte Dauphine,2400000,4,2,150.0
2552,Paris 18ème,Clignancourt-Jules Joffrin,1290000,5,4,120.0
2553,Paris 14ème,Montsouris Dareau,1500000,5,3,152.4
2554,Paris 16ème,Muette Sud,1785000,5,2,136.0
2555,Paris 14ème,Raspail-Montparnasse,3600000,6,3,199.0
2556,Paris 16ème,Porte Dauphine,1647000,5,3,133.0
2557,Paris 15ème,Saint Lambert,1200000,5,3,106.0
2558,Paris 17ème,Legendre-Lévis,1900000,5,3,136.0
2560,Paris 17ème,Courcelles-Wagram,2484900,7,4,225.9
2561,Paris 20ème,Télégraphe-Pelleport Saint Fargeau,899000,4,3,99.0
2563,Paris 2ème,Sentier-Bonne Nouvelle,685000,2,1,65.0
2564,Paris 5ème,Saint Victor,2530000,7,4,175.7
2565,Paris 16ème,Porte Dauphine,2210000,7,4,214.0
2566,Paris 16ème,Chaillot,1575000,3,2,65.0
2567,Paris 8ème,Hoche-Friedland,2575000,7,4,174.1
2568,Paris 18ème,La Chapelle-Marx Dormoy,560000,4,2,60.0
2569,Paris 17ème,Batignolles-Cardinet,582400,2,1,49.37
2570,Paris 8ème,Hoche-Friedland,1450000,3,2,106.0
2571,Paris 8ème,Elysées-Madeleine,2000000,5,3,122.0
2573,,,1095000,4,2,82.56
2575,Paris 17ème,Courcelles-Wagram,899000,3,1,71.0
2576,Paris 2ème,Vivienne-Gaillon,1835000,4,2,99.4
2577,Paris 20ème,Père Lachaise-Réunion,630000,3,2,62.0
2578,Paris 16ème,Porte Dauphine,2130000,6,1,160.83
2579,Paris 10ème,Porte Saint Denis-Paradis,975000,4,2,88.15
2580,Paris 16ème,Porte Dauphine,895000,4,2,67.0
2581,Paris 15ème,Vaugirard-Parc des Expositions,995000,3,2,75.0
2582,Paris 13ème,Olympiades-Choisy,1400000,5,4,108.0
2583,Paris 4ème,Saint Merri,1242000,5,2,107.17
2585,Paris 5ème,Val de Grace,2600000,6,4,192.25
2586,Paris 16ème,Muette Nord,1500000,4,2,117.0
2587,Paris 19ème,Bassin de la Villette,228609,2,1,30.0
2589,Paris 2ème,Montorgueil-Saint Denis,699000,3,2,53.0
2590,Paris 19ème,Secrétan,1350000,5,3,120.0
2591,Paris 17ème,Courcelles-Wagram,2100000,4,3,130.0
2592,Paris 7ème,Ecole Militaire,1895000,3,1,113.7
2593,Paris 19ème,Danube-Porte des Lilas,1760000,7,5,168.0
2594,Paris 16ème,Auteuil Sud,875000,3,2,73.35
2595,Paris 3ème,Arts et Métiers,960000,3,2,63.0
2596,Paris 20ème,Saint Blaise,240000,3,1,28.0
2597,Paris 7ème,Invalides,3550000,8,4,275.0
2598,Paris 16ème,Porte Dauphine,2280000,5,3,146.0
2599,Paris 3ème,Enfants Rouges,870000,3,1,64.0
2600,Paris 3ème,Enfants Rouges,2830000,4,3,142.06
2602,Paris 3ème,Enfants Rouges,498000,2,1,37.66
2604,Paris 14ème,Mouton Duvernet,1625000,4,3,107.95
2605,Paris 7ème,Saint Thomas d'Aquin,2140000,3,1,82.0
2606,Paris 13ème,Patay-Masséna,1170000,5,3,130.0
2607,Paris 1er,Les Halles,932400,3,2,81.0
2608,Paris 3ème,Archives,690000,2,1,46.0
2609,,,530000,2,1,54.0
2610,Paris 15ème,Violet Commerce,775500,3,2,77.55
2611,Paris 8ème,Triangle d'Or,572000,2,1,49.0
2613,Paris 16ème,Muette Nord,3950000,6,4,215.14
2614,,,1050000,2,1,60.11
2615,Paris 18ème,Clignancourt-Jules Joffrin,1490000,4,3,111.43
2616,Paris 14ème,Mouton Duvernet,1058000,4,3,102.58
2617,Paris 18ème,La Chapelle-Marx Dormoy,770000,4,2,82.25
2618,Paris 16ème,Muette Nord,2300000,6,4,235.0
2619,Paris 16ème,Auteuil Nord,1180000,4,2,92.0
2620,Paris 14ème,Mouton Duvernet,495000,3,2,50.96
2621,Paris 13ème,Buttes Aux Cailles-Glacière,1180000,5,3,116.0
2622,Paris 16ème,Muette Sud,2100000,6,4,186.0
2623,Paris 9ème,Clichy-Trinité,630000,2,1,54.35
2624,Paris 6ème,Monnaie,2500000,6,3,136.25
2625,Paris 6ème,Saint Placide,2214500,6,4,134.4
2626,Paris 17ème,Epinettes-Bessières,345000,2,1,29.0
2627,Paris 18ème,Montmartre,897600,4,3,89.0
2628,Paris 15ème,Pasteur Montparnasse,415000,2,1,49.0
2629,Paris 18ème,Grandes Carrières-Clichy,1000000,4,2,92.01
2630,Paris 8ème,Hoche-Friedland,750000,2,1,43.0
2631,Paris 14ème,Montsouris Dareau,535000,2,1,50.19
2632,Paris 3ème,Enfants Rouges,530000,2,1,39.0
2633,Paris 15ème,Alleray Procession,395000,2,1,48.46
2634,Paris 11ème,Bastille-Popincourt,750000,3,2,71.5
2635,Paris 12ème,Jardin de Reuilly,750000,3,2,71.5
2636,Paris 6ème,Saint Placide,680000,2,1,42.0
2637,Paris 6ème,Monnaie,670000,2,1,44.0
2638,Paris 17ème,Clichy-Batignolles,830000,3,2,85.0
2639,Paris 16ème,Auteuil Sud,515000,2,1,43.0
2640,Paris 18ème,Grandes Carrières-Clichy,945000,3,2,89.0
2641,Paris 17ème,Champerret-Berthier,650000,2,1,54.0
2642,Paris 10ème,Faubourg du Temple-Hôpital Saint Louis,2795000,6,3,184.37
2643,Paris 7ème,Gros Caillou,1825000,3,2,92.0
2644,,,2625000,7,5,260.0
2645,Paris 16ème,Chaillot,2040000,5,3,202.0
2646,Paris 10ème,Porte Saint Denis-Paradis,650000,2,1,57.0
2648,Paris 18ème,Grandes Carrières-Clichy,1260000,4,3,107.0
2649,Paris 14ème,Montsouris Dareau,840000,3,2,76.0
2650,Paris 16ème,Muette Nord,2800000,6,3,200.0
2652,Paris 7ème,Gros Caillou,900000,3,2,59.0
2654,Paris 9ème,Lafayette-Richer,599000,2,1,46.65
2656,Paris 16ème,Auteuil Nord,1230000,3,2,82.0
2657,Paris 17ème,Pereire-Malesherbes,3395000,8,6,305.0
2658,Paris 17ème,Champerret-Berthier,2420000,5,3,166.0
2660,Paris 16ème,Chaillot,585000,2,1,46.0
2661,Paris 5ème,Jardin des Plantes,1020000,3,2,67.0
2662,Paris 17ème,Batignolles-Cardinet,675000,3,2,54.0
2663,Paris 14ème,Mouton Duvernet,490000,3,2,40.17
2664,Paris 18ème,La Chapelle-Marx Dormoy,550000,4,3,73.0
2665,Paris 5ème,Jardin des Plantes,1090000,2,1,67.26
2666,Paris 16ème,Muette Sud,651000,2,1,48.0
2667,Paris 8ème,Elysées-Madeleine,2790000,5,4,164.87
2668,Paris 15ème,Violet Commerce,690000,3,2,57.0
2669,Paris 17ème,Legendre-Lévis,485000,2,1,36.3
2670,Paris 3ème,Enfants Rouges,849000,3,2,56.0
2673,,,850000,3,2,65.0
2675,Paris 19ème,Manin-Jaurès,540000,3,2,56.4
2676,Paris 11ème,Nation-Alexandre Dumas,1190000,4,2,90.0
2677,Paris 6ème,Odéon,990000,5,4,66.0
2678,Paris 16ème,Muette Sud,620000,3,1,48.0
2679,Paris 15ème,Georges Brassens,970000,5,3,105.0
2680,Paris 15ème,Alleray Procession,1100000,4,2,92.0
2681,Paris 7ème,Invalides,1460000,4,2,95.0
2682,Paris 14ème,Mouton Duvernet,483000,2,1,39.0
2685,Paris 15ème,Citroën-Boucicaut,389000,2,1,39.46
2686,Paris 15ème,Cambronne-Garibaldi,495000,2,1,57.0
2687,Paris 16ème,Chaillot,1550000,5,3,115.45
2688,Paris 16ème,Porte Dauphine,1690000,5,3,129.57
2689,Paris 8ème,Elysées-Madeleine,759000,3,2,49.06
2690,,,7995000,7,4,316.56
2691,Paris 16ème,Muette Nord,1390000,5,2,108.2
2692,Paris 16ème,Muette Sud,1785000,5,2,136.0
2693,Paris 8ème,Triangle d'Or,6000000,5,3,164.0
2694,Paris 16ème,Auteuil Sud,950000,3,2,65.0
2695,Paris 16ème,Porte Dauphine,1647000,5,3,133.0
2696,Paris 17ème,Pereire-Malesherbes,4700000,8,5,356.0
2697,Paris 15ème,Saint Lambert,1200000,5,3,106.0
2699,Paris 7ème,Gros Caillou,2100000,5,3,129.8
2700,Paris 7ème,Invalides,1300000,3,2,74.83
2702,Paris 13ème,Croulebarbe,410000,2,1,28.0
2703,Paris 17ème,Pereire-Malesherbes,3100000,7,5,282.6
2704,Paris 2ème,Sentier-Bonne Nouvelle,685000,2,1,65.0
2705,Paris 3ème,Sainte Avoie,2290000,3,2,170.0
2706,Paris 17ème,Batignolles-Cardinet,582400,2,1,49.37
2707,Paris 19ème,Place des Fêtes,707972,3,2,45.39
2708,Paris 8ème,Hoche-Friedland,1450000,3,2,106.0
2709,Paris 16ème,Muette Nord,2992500,8,5,290.93
2710,Paris 8ème,Elysées-Madeleine,2000000,5,3,122.0
2712,,,1095000,4,2,82.56
2715,Paris 18ème,La Chapelle-Marx Dormoy,540000,3,2,54.88
2716,Paris 17ème,Courcelles-Wagram,899000,3,1,71.0
2717,Paris 10ème,Saint Vincent de Paul-Lariboisière,1195000,4,3,104.0
2718,Paris 2ème,Vivienne-Gaillon,1835000,4,2,99.4
2719,Paris 20ème,Père Lachaise-Réunion,630000,3,2,62.0
2720,Paris 15ème,Pasteur Montparnasse,1045000,3,1,73.63
2721,Paris 16ème,Porte Dauphine,895000,4,2,67.0
2722,Paris 15ème,Vaugirard-Parc des Expositions,995000,3,2,75.0
2723,Paris 13ème,Olympiades-Choisy,1400000,5,4,108.0
2724,Paris 13ème,Dunois-Bibliothèque-Jeanne-d'Arc,980000,4,2,81.0
2725,Paris 16ème,Chaillot,898000,3,2,66.0
2726,Paris 13ème,Bièvres Sud Tolbiac,675000,2,1,56.58
2727,Paris 19ème,Bassin de la Villette,228609,2,1,30.0
2728,Paris 20ème,Plaine,468000,2,1,52.15
2730,Paris 16ème,Porte Dauphine,3620000,5,2,148.0
2731,Paris 14ème,Montsouris Dareau,630000,2,1,49.0
2732,Paris 19ème,Secrétan,880000,4,3,102.0
2733,Paris 15ème,Violet Commerce,1410000,3,2,80.47
2735,,,1480000,2,1,109.0
2736,Paris 17ème,Pereire-Malesherbes,2430000,6,4,190.71
2737,Paris 5ème,Val de Grace,642000,2,1,49.0
2738,Paris 14ème,Jean Moulin-Porte d'Orléans,469000,2,1,56.13
2739,Paris 12ème,Nation-Picpus,790000,3,2,71.0
2740,Paris 16ème,Porte Dauphine,1945000,6,4,146.0
2741,Paris 16ème,Porte Dauphine,1975000,5,3,150.0
2742,,,585000,4,2,80.0
2743,Paris 18ème,Goutte d'Or-Château Rouge,585000,4,3,80.0
2744,Paris 18ème,Goutte d'Or-Château Rouge,600000,4,2,80.0
2745,Paris 18ème,Goutte d'Or-Château Rouge,600000,4,3,80.0
2746,Paris 17ème,Batignolles-Cardinet,989000,3,2,74.8
2748,Paris 16ème,Muette Sud,1244000,4,2,89.25
2749,Paris 16ème,Muette Sud,1030000,3,2,76.15
2751,,,469000,3,2,76.0
2752,Paris 16ème,Muette Nord,454000,2,1,39.8
2753,Paris 20ème,Père Lachaise-Réunion,470000,3,2,50.0
2754,Paris 17ème,Legendre-Lévis,1880000,6,4,142.0
2755,Paris 19ème,Danube-Porte des Lilas,339000,2,1,38.0
2756,Paris 17ème,Legendre-Lévis,1795000,5,3,150.0
2757,Paris 17ème,La Fourche-Guy Môquet,295000,2,1,27.57
2758,Paris 19ème,Secrétan,224700,2,1,39.2
2760,Paris 20ème,Télégraphe-Pelleport Saint Fargeau,428000,2,1,54.0
2761,Paris 17ème,Batignolles-Cardinet,1895000,7,4,181.0
2762,Paris 17ème,La Fourche-Guy Môquet,460000,2,1,40.0
2763,Paris 13ème,Dunois-Bibliothèque-Jeanne-d'Arc,399000,2,1,33.0
2764,Paris 16ème,Auteuil Nord,1230000,3,2,82.0
2765,Paris 8ème,Mairie,2950000,6,4,223.0
2766,Paris 16ème,Chaillot,4900000,8,4,365.0
2767,Paris 16ème,Chaillot,880000,4,2,68.17
2768,Paris 16ème,Auteuil Nord,845000,3,2,70.0
2769,Paris 16ème,Muette Nord,675000,2,1,54.0
2770,Paris 17ème,Champerret-Berthier,2420000,5,3,166.0
2772,Paris 17ème,Pereire-Malesherbes,620000,2,1,47.0
2773,Paris 16ème,Muette Sud,2400000,6,3,200.0
2774,Paris 18ème,La Chapelle-Marx Dormoy,550000,3,2,65.5
2776,Paris 16ème,Chaillot,899000,3,1,62.0
2777,Paris 13ème,Croulebarbe,730000,3,2,72.0
2778,Paris 17ème,Pereire-Malesherbes,878800,3,2,65.0
2779,Paris 16ème,Chaillot,899000,2,1,62.0
2780,Paris 12ème,Aligre-Gare de Lyon,1044000,4,2,93.0
2783,Paris 14ème,Jean Moulin-Porte d'Orléans,995000,5,3,94.0
2784,Paris 16ème,Auteuil Sud,1211280,5,3,110.0
2785,Paris 13ème,Patay-Masséna,823300,3,2,60.0
2786,Paris 13ème,Buttes Aux Cailles-Glacière,1180000,5,3,116.0
2787,Paris 16ème,Muette Sud,2100000,6,4,186.0
2788,Paris 9ème,Clichy-Trinité,630000,2,1,54.35
2789,Paris 6ème,Monnaie,2500000,6,3,136.25
2790,Paris 6ème,Saint Placide,2214500,6,4,134.4
2791,Paris 20ème,Plaine,440000,2,1,45.0
2792,Paris 6ème,Monnaie,1560000,3,2,78.0
2793,Paris 16ème,Muette Nord,2250000,6,4,161.72
2795,Paris 17ème,Epinettes-Bessières,345000,2,1,29.0
2797,Paris 17ème,Epinettes-Bessières,693000,2,1,55.0
2798,,,850000,3,2,65.0
2800,Paris 19ème,Manin-Jaurès,540000,3,2,56.4
2801,Paris 11ème,Nation-Alexandre Dumas,1190000,4,2,90.0
2802,Paris 6ème,Odéon,990000,5,4,66.0
2803,Paris 16ème,Muette Nord,487800,3,2,45.0
2804,Paris 16ème,Muette Sud,620000,3,1,48.0
2805,Paris 15ème,Georges Brassens,970000,5,3,105.0
2806,Paris 15ème,Alleray Procession,1100000,4,2,92.0
2807,Paris 7ème,Invalides,1460000,4,2,95.0
2808,Paris 14ème,Mouton Duvernet,483000,2,1,39.0
2809,Paris 15ème,Saint Lambert,370000,2,1,32.0
2811,Paris 16ème,Chaillot,1980000,5,3,125.0
2812,Paris 9ème,Lorette-Martyrs,799000,4,3,55.56
2814,Paris 8ème,Triangle d'Or,6000000,5,3,164.0
2815,Paris 16ème,Auteuil Sud,950000,3,2,65.0
2816,Paris 17ème,Pereire-Malesherbes,4700000,8,5,356.0
2817,Paris 7ème,Gros Caillou,2100000,5,3,129.8
2818,Paris 7ème,Invalides,1300000,3,2,74.83
2819,Paris 11ème,Léon-Blum Folie-Regnault,370000,2,1,39.0
2820,Paris 13ème,Croulebarbe,410000,2,1,28.0
2821,Paris 10ème,Chateau d'Eau-Lancry,597000,3,2,60.0
2822,Paris 18ème,Goutte d'Or-Château Rouge,580000,4,2,74.0
2823,Paris 12ème,Aligre-Gare de Lyon,1196000,4,2,84.0
2824,Paris 16ème,Auteuil Nord,549000,2,1,54.58
2825,Paris 8ème,Triangle d'Or,4935000,5,3,191.0
2826,Paris 16ème,Porte Dauphine,3100000,7,4,249.0
2827,Paris 17ème,Courcelles-Wagram,2900000,9,5,244.0
2828,Paris 12ème,Aligre-Gare de Lyon,369000,2,1,37.12
2829,Paris 7ème,Invalides,3000000,5,4,162.0
2830,Paris 16ème,Auteuil Sud,1029000,5,4,105.6
2831,Paris 8ème,Triangle d'Or,6100000,5,3,177.0
2832,Paris 1er,Vendôme,1520000,3,1,81.32
2833,Paris 17ème,Pereire-Malesherbes,1430000,3,1,80.0
2834,Paris 20ème,Plaine,800000,3,2,77.0
2836,,,1900000,5,4,155.5
2837,Paris 8ème,Hoche-Friedland,3140000,6,3,233.0
2838,Paris 14ème,Montsouris Dareau,1100000,5,3,94.0
2839,Paris 5ème,Val de Grace,1465000,4,3,93.0
2840,Paris 15ème,Vaugirard-Parc des Expositions,675000,4,3,67.42
2841,Paris 3ème,Arts et Métiers,1940000,6,4,181.0
2842,Paris 15ème,Vaugirard-Parc des Expositions,549000,3,2,58.0
2843,,,1065000,4,2,76.0
2844,Paris 6ème,Notre Dame des Champs,3280000,5,4,205.0
2845,Paris 12ème,Bel-Air Sud,980000,4,3,100.0
2847,Paris 16ème,Auteuil Sud,850000,4,3,77.26
2848,Paris 14ème,Mouton Duvernet,435000,2,1,36.33
2850,Paris 14ème,Pernety,295000,2,1,27.45
2851,Paris 5ème,Sorbonne,650000,2,1,47.25
2852,Paris 15ème,Emeriau-Zola,380000,2,1,29.8
2853,Paris 10ème,Louis Blanc-Aqueduc,735000,4,3,80.0
2854,Paris 16ème,Chaillot,890000,3,1,53.59
2855,Paris 8ème,Parc Monceau,3750000,7,3,193.79
2857,Paris 8ème,Mairie,1250000,3,2,77.0
2858,Paris 16ème,Muette Nord,550000,3,2,52.5
2859,Paris 3ème,Arts et Métiers,967800,2,1,50.0
2861,Paris 7ème,Gros Caillou,9000000,7,3,300.0
2862,Paris 19ème,Bassin de la Villette,472000,3,2,44.0
2863,Paris 5ème,Val de Grace,1000000,3,2,76.46
2864,Paris 20ème,Père Lachaise-Réunion,435000,2,1,41.37
2865,Paris 18ème,Goutte d'Or-Château Rouge,527000,3,2,62.0
2866,Paris 16ème,Chaillot,4970000,7,4,210.0
2867,Paris 20ème,Belleville,435000,3,2,40.0
2868,Paris 3ème,Enfants Rouges,1979000,4,2,130.0
2869,Paris 3ème,Sainte Avoie,1499000,4,2,109.0
2870,Paris 12ème,Bel-Air Nord,569500,3,2,66.27
2871,Paris 18ème,Clignancourt-Jules Joffrin,440000,2,1,38.42
2872,Paris 10ème,Louis Blanc-Aqueduc,690000,3,2,66.0
2873,Paris 17ème,Batignolles-Cardinet,989000,3,2,74.8
2875,Paris 16ème,Muette Sud,1244000,4,2,89.25
2876,Paris 16ème,Muette Sud,1030000,3,2,76.15
2878,Paris 16ème,Muette Nord,454000,2,1,39.8
2879,Paris 19ème,Danube-Porte des Lilas,339000,2,1,38.0
2880,Paris 19ème,Secrétan,224700,2,1,39.2
2882,Paris 20ème,Télégraphe-Pelleport Saint Fargeau,428000,2,1,54.0
2883,Paris 17ème,Batignolles-Cardinet,1895000,7,4,181.0
2884,Paris 17ème,La Fourche-Guy Môquet,460000,2,1,40.0
2885,Paris 13ème,Dunois-Bibliothèque-Jeanne-d'Arc,399000,2,1,33.0
2886,Paris 16ème,Auteuil Nord,1230000,3,2,82.0
2887,Paris 17ème,Pereire-Malesherbes,3395000,8,6,305.0
2888,Paris 8ème,Hoche-Friedland,2450000,5,3,166.0
2889,Paris 15ème,Violet Commerce,690000,3,2,57.0
2890,Paris 17ème,Legendre-Lévis,485000,2,1,36.3
2891,Paris 16ème,Auteuil Sud,1401000,5,3,119.0
2892,Paris 11ème,Léon-Blum Folie-Regnault,1225000,4,3,96.0
2893,Paris 16ème,Auteuil Nord,1287000,3,1,94.4
2894,Paris 16ème,Auteuil Nord,540000,2,1,48.0
2895,Paris 16ème,Chaillot,2280000,5,3,170.0
2896,Paris 16ème,Muette Sud,2100000,6,5,190.0
2897,Paris 16ème,Auteuil Nord,2880000,8,5,180.21
2898,Paris 16ème,Muette Nord,2539000,6,4,170.0
2899,Paris 3ème,Enfants Rouges,849000,3,2,56.0
2900,Paris 19ème,Pont de Flandre,585000,2,1,66.0
2901,Paris 7ème,Invalides,550000,2,1,45.0
2903,Paris 2ème,Vivienne-Gaillon,774800,3,1,67.4
2904,Paris 2ème,Sentier-Bonne Nouvelle,584000,3,2,44.0
2905,Paris 2ème,Montorgueil-Saint Denis,424000,2,1,35.93
2906,Paris 1er,Saint Germain l'Auxerrois,349800,2,1,25.14
2907,Paris 1er,Les Halles,1155000,6,3,110.02
2908,Paris 1er,Vendôme,1850000,5,3,126.57
2909,Paris 4ème,Arsenal,785000,3,2,53.47
2911,Paris 15ème,Cambronne-Garibaldi,765000,3,1,63.0
2912,,,515000,2,1,41.1
2914,Paris 16ème,Muette Nord,2539000,6,1,170.0
2915,Paris 16ème,Auteuil Sud,900000,3,2,71.0
2916,Paris 10ème,Porte Saint Denis-Paradis,1410000,4,3,127.0
2917,Paris 15ème,Dupleix-Motte Picquet,1550000,4,3,93.2
2918,Paris 17ème,Ternes-Maillot,310000,2,1,29.0
2919,Paris 1er,Les Halles,775000,2,1,50.0
2922,Paris 16ème,Auteuil Sud,405000,2,1,31.43
2923,Paris 14ème,Montsouris Dareau,520000,2,1,50.0
2925,Paris 17ème,Epinettes-Bessières,693000,2,1,55.0
2926,,,850000,3,2,65.0
2928,Paris 19ème,Manin-Jaurès,540000,3,2,56.4
2929,Paris 6ème,Odéon,990000,5,4,66.0
2930,Paris 16ème,Muette Nord,487800,3,2,45.0
2931,Paris 9ème,Lafayette-Richer,595000,2,1,42.0
2932,Paris 11ème,Nation-Alexandre Dumas,1190000,4,2,90.0
2933,Paris 16ème,Muette Sud,620000,3,1,48.0
2934,Paris 15ème,Georges Brassens,970000,5,3,105.0
2935,Paris 15ème,Alleray Procession,1100000,4,2,92.0
2936,Paris 7ème,Invalides,1460000,4,2,95.0
2937,Paris 14ème,Mouton Duvernet,483000,2,1,39.0
2938,Paris 15ème,Alleray Procession,505000,2,1,44.1
2939,Paris 15ème,Saint Lambert,370000,2,1,32.0
2941,Paris 16ème,Chaillot,1980000,5,3,125.0
2942,Paris 9ème,Lorette-Martyrs,799000,4,3,55.56
2944,Paris 10ème,Chateau d'Eau-Lancry,325000,2,1,29.0
2945,Paris 16ème,Auteuil Sud,970000,4,2,80.0
2946,Paris 8ème,Triangle d'Or,3200000,4,2,130.0
2947,Paris 16ème,Chaillot,1985000,5,3,120.0
2948,Paris 19ème,Buttes Chaumont,342000,2,1,42.0
2949,Paris 6ème,Monnaie,2190000,4,3,108.0
2950,Paris 16ème,Chaillot,6300000,11,6,400.0
2951,Paris 16ème,Chaillot,6250000,5,3,242.54
2952,Paris 16ème,Porte Dauphine,5775000,7,5,372.0
2953,Paris 16ème,Muette Nord,5775000,11,3,385.0
2954,Paris 16ème,Muette Nord,1390000,5,2,128.0
2955,Paris 7ème,Invalides,2380000,4,2,136.0
2956,Paris 8ème,Saint Philippe du Roule,3250000,5,3,189.29
2957,Paris 16ème,Chaillot,5270000,7,5,340.0
2958,Paris 7ème,Invalides,9600000,5,3,313.0
2959,Paris 14ème,Raspail-Montparnasse,1785000,3,1,90.0
2960,Paris 6ème,Odéon,2190000,3,2,82.0
2961,Paris 15ème,Alleray Procession,1520000,6,3,123.0
2962,Paris 16ème,Porte Dauphine,7500000,12,6,450.0
2963,Paris 6ème,Odéon,2190000,3,1,82.3
2965,Paris 6ème,Odéon,4680000,6,4,170.0
2966,Paris 6ème,Odéon,4680000,6,4,170.0
2967,Paris 16ème,Porte Dauphine,1890000,4,2,105.0
2970,Paris 4ème,Saint Gervais,1207500,4,2,97.0
2972,Paris 6ème,Odéon,5400000,8,4,202.7
2973,Paris 13ème,Nationale-Deux Moulins,993000,4,3,80.0
2974,Paris 15ème,Vaugirard-Parc des Expositions,963000,3,2,85.0
2975,Paris 13ème,Nationale-Deux Moulins,1362000,5,4,111.0
2976,Paris 13ème,Dunois-Bibliothèque-Jeanne-d'Arc,782900,3,2,66.0
2977,Paris 16ème,Porte Dauphine,1690000,5,3,130.71
2978,Paris 4ème,Saint Gervais,1709000,3,1,117.0
2979,Paris 6ème,Saint Germain des Prés,800000,2,1,39.62
2980,Paris 8ème,Triangle d'Or,4750000,6,3,215.0
2981,Paris 19ème,Manin-Jaurès,550000,3,2,70.0
2982,Paris 15ème,Saint Lambert,1995000,4,3,109.0
2983,Paris 14ème,Raspail-Montparnasse,2200000,4,2,154.49
2984,Paris 5ème,Saint Victor,995000,4,2,83.0
2985,Paris 15ème,Emeriau-Zola,900000,4,3,89.0
2986,Paris 13ème,Nationale-Deux Moulins,968200,4,3,86.1
2987,Paris 7ème,Invalides,2900000,4,2,162.8
2988,Paris 6ème,Saint Germain des Prés,2600000,5,3,148.0
2989,Paris 18ème,Clignancourt-Jules Joffrin,975000,3,2,80.0
2990,,,1700000,6,4,173.6
2991,Paris 16ème,Porte Dauphine,2700000,8,4,265.0
2992,Paris 4ème,Arsenal,1595000,4,3,100.0
2993,Paris 15ème,Emeriau-Zola,1145000,5,3,92.0
2994,Paris 17ème,La Fourche-Guy Môquet,519000,3,2,57.0
2995,Paris 15ème,Vaugirard-Parc des Expositions,620000,3,2,55.0
2996,Paris 16ème,Auteuil Sud,3645800,8,6,257.0
2997,Paris 14ème,Raspail-Montparnasse,1900000,5,3,113.5
2999,Paris 6ème,Saint Germain des Prés,1450000,2,1,57.5
3000,Paris 18ème,Clignancourt-Jules Joffrin,1085000,3,1,87.79
3001,Paris 18ème,Clignancourt-Jules Joffrin,1185000,3,1,94.76
3002,Paris 7ème,Invalides,770000,2,1,57.0
3003,Paris 8ème,Triangle d'Or,4725000,6,2,195.0
3004,Paris 8ème,Triangle d'Or,1795000,2,1,80.0
3005,Paris 16ème,Auteuil Nord,2350000,4,3,157.0
3006,Paris 17ème,Pereire-Malesherbes,2470000,6,4,209.58
3008,Paris 3ème,Archives,624750,2,1,52.0
3010,Paris 20ème,Télégraphe-Pelleport Saint Fargeau,890000,4,3,125.0
3011,Paris 18ème,Montmartre,1050000,3,2,111.0
3014,Paris 8ème,Triangle d'Or,3750000,5,3,174.5
3015,Paris 17ème,La Fourche-Guy Môquet,589000,3,2,70.0
3016,Paris 18ème,La Chapelle-Marx Dormoy,668000,5,1,87.5
3017,Paris 9ème,Trudaine-Maubeuge,1190000,4,3,113.43
3018,Paris 8ème,Hoche-Friedland,1340000,5,2,105.0
3019,Paris 13ème,Nationale-Deux Moulins,490000,2,1,39.1
3020,Paris 6ème,Notre Dame des Champs,234000,2,1,16.0
3021,Paris 14ème,Jean Moulin-Porte d'Orléans,640000,3,2,61.0
3023,Paris 15ème,Pasteur Montparnasse,410000,2,1,50.0
3024,Paris 11ème,Bastille-Popincourt,1575000,4,3,118.0
3026,Paris 13ème,Dunois-Bibliothèque-Jeanne-d'Arc,834000,5,4,83.0
3027,Paris 18ème,Clignancourt-Jules Joffrin,1290000,4,3,120.0
3028,Paris 16ème,Chaillot,9450000,6,3,271.0
3029,Paris 20ème,Télégraphe-Pelleport Saint Fargeau,489000,2,1,48.0
3030,Paris 16ème,Chaillot,5100000,8,5,380.0
3031,Paris 5ème,Jardin des Plantes,478400,3,1,34.45
3032,Paris 8ème,Parc Monceau,5700000,8,4,283.05
3033,Paris 19ème,Manin-Jaurès,825000,4,3,87.0
3034,Paris 17ème,Pereire-Malesherbes,1725000,5,3,152.6
