,ville_raw,quartier_raw,price_raw,room_nb_raw,bedroom_nb_raw,surface_raw
2171,Paris 2ème,Sentier-Bonne Nouvelle,1100000,4,2,91.0
2172,Paris 17ème,Legendre-Lévis,997500,5,3,89.0
2173,Paris 15ème,Georges Brassens,810000,3,2,80.0
2174,Paris 19ème,Secrétan,570000,3,1,51.0
2175,Paris 16ème,Muette Nord,1880000,5,3,146.0
2176,Paris 14ème,Raspail-Montparnasse,590000,2,1,47.39
2177,Paris 12ème,Bercy,639000,3,2,69.0
2178,Paris 9ème,Trudaine-Maubeuge,1839000,6,5,174.0
2179,Paris 16ème,Auteuil Sud,849000,4,3,97.0
2181,Paris 19ème,Flandre-Aubervilliers,672000,4,3,91.13
2182,Paris 16ème,Porte Dauphine,500000,3,2,40.0
2183,Paris 20ème,Saint Blaise,395000,2,1,45.0
2184,Paris 8ème,Europe,2235000,6,4,150.3
2185,Paris 15ème,Emeriau-Zola,890000,4,3,79.0
2186,Paris 6ème,Notre Dame des Champs,1699000,5,3,118.0
2187,Paris 12ème,Bel-Air Sud,337000,2,1,33.06
2189,Paris 11ème,Nation-Alexandre Dumas,1009120,4,2,92.0
2190,Paris 12ème,Bel-Air Nord,689000,3,1,73.0
2191,Paris 12ème,Bel-Air Sud,542864,2,1,43.0
2193,Paris 6ème,Monnaie,600000,2,1,35.0
2194,Paris 8ème,Mairie,424000,2,1,34.53
2195,Paris 16ème,Auteuil Sud,635000,2,1,58.0
2196,Paris 4ème,Île Saint Louis,1335000,4,2,74.0
2197,Paris 1er,Palais Royal,3650000,6,4,191.0
2198,Paris 20ème,Gambetta,615000,4,3,72.54
2199,Paris 10ème,Saint Vincent de Paul-Lariboisière,1900000,6,4,192.0
2200,Paris 5ème,Val de Grace,465000,2,1,32.0
2201,Paris 6ème,Saint Germain des Prés,880000,2,1,60.93
2203,Paris 5ème,Val de Grace,1285000,5,3,92.0
2204,Paris 14ème,Didot-Porte de Vanves,860000,4,3,87.9
2205,Paris 16ème,Muette Nord,1500000,4,2,110.0
2206,Paris 18ème,Charles-Hermite-Evangile,495000,4,3,78.41
2207,Paris 11ème,Belleville-Saint Maur,685000,3,2,64.0
2208,Paris 12ème,Bel-Air Nord,735000,3,2,66.0
2211,Paris 15ème,Vaugirard-Parc des Expositions,295000,2,1,25.1
2212,Paris 18ème,Grandes Carrières-Clichy,495000,2,1,52.12
2213,Paris 10ème,Saint Vincent de Paul-Lariboisière,1526000,5,4,140.0
