ville, price, room_nb, bedroom_nb, surface, quartier
Paris 14 (75014),400 000 €,2,1 ch.,38,Paris
Paris 02 (75002),400 000 €,1,1 ch.,29,Paris
Paris 12 (75012),400 000 €,2,1 ch.,40,Paris 12ème
Paris 10 (75010),400 000 €,2,1 ch.,33,Paris
Paris 19 (75019),400 000 €,3,2 ch.,45,Paris
Paris 19 (75019),400 000 €,2,1 ch.,42,Paris
Paris 18 (75018),400 000 €,2,1 ch.,42,Paris
Paris 06 (75006),400 000 €,,,35,
Paris 13 (75013),400 600 €,1,,34,Paris
Paris 15 (75015),402 000 €,2,1 ch.,49,
Paris 15 (75015),402 000 €,2,1 ch.,49,Métro Volontaires
Paris 11 (75011),403 000 €,2,1 ch.,35,Paris
Paris 17 (75017),403 000 €,2,1 ch.,64,
Paris 09 (75009),650 000 €,2,1 ch.,55,Square Motholon
Paris 17 (75017),403 000 €,2,1 ch.,64,
Paris 13 (75013),405 300 €,1,,36,Paris 13ème
Paris 19ème (75019),407 000 €,1,,36,
Paris 14 (75014),407 000 €,1,,28,Paris 14ème
Paris 14 (75014),407 000 €,1,,28,Paris
Paris 18 (75018),408 000 €,1,,28,
Paris 13 (75013),410 000 €,2,1 ch.,48,
Paris 03 (75003),410 000 €,1,,31,Temple
Paris 16 (75016),410 000 €,2,1 ch.,39,Paris
Paris 16 (75016),410 000 €,2,1 ch.,33,Paris
Paris 13 (75013),410 000 €,2,1 ch.,46,Paris 13ème
,410 000 €,2,1 ch.,44,
Paris 09 (75009),410 000 €,1,,27,Paris 9ème
Paris 09 (75009),410 000 €,1,,27,Paris 9ème
Paris 13 (75013),410 000 €,1,,32,Paris 13ème
Paris 07 (75007),410 500 €,1,1 ch.,20,Paris
Paris 08 (75008),411 500 €,2,1 ch.,27,Paris 8ème
Paris 19 (75019),412 000 €,1,,35,"Paris, 75019"
Paris 14 (75014),412 000 €,1,,28,
Paris 18 (75018),412 000 €,2,1 ch.,32,Paris 18
Paris 20 (75020),420 000 €,2,1 ch.,42,
Paris 19 (75019),412 000 €,2,1 ch.,36,Paris 19ème
Paris 19ème (75019),412 000 €,1,,36,
Paris 19 (75019),412 000 €,2,1 ch.,49,Paris
Paris 14 (75014),412 500 €,2,1 ch.,53,Paris 14ème
Paris 20 (75020),412 900 €,2,1 ch.,43,Paris
Paris 07 (75007),414 440 €,1,,20,Paris
Paris 10 (75010),415 000 €,2,1 ch.,46,
Paris 16 (75116),415 000 €,1,,26,Paris
Paris 06 (75006),415 000 €,1,,24,Paris 6ème
Paris 20 (75020),415 000 €,4,2 ch.,99,Paris 20ème
Paris 13 (75013),415 000 €,1,,52,Paris 13eme
Paris 19 (75019),415 000 €,2,1 ch.,45,Eugène Jumin
Paris 15 (75015),416 000 €,1,,35,Paris 15ème
Paris 11 (75011),416 000 €,2,1 ch.,31,Paris
Paris 17 (75017),417 000 €,2,1 ch.,37,Paris
Paris 17 (75017),417 300 €,2,1 ch.,33,Paris
Paris 17 (75017),417 300 €,2,1 ch.,33,
,418 000 €,2,1 ch.,44,
Paris 07 (75007),418 000 €,1,,20,Duroc
Paris 19 (75019),419 000 €,2,1 ch.,39,Secrétan
Paris 19 (75019),328 600 €,1,,33,
Paris 09 (75009),420 000 €,1,,31,Paris
Paris 15 (75015),420 000 €,2,1 ch.,32,Paris 15
Paris 04 (75004),420 000 €,1,1 ch.,25,Arsenal
Paris 20 (75020),420 000 €,2,1 ch.,42,
Paris 08 (75008),420 000 €,1,,26,Paris 8e Arrondissement
Paris 02 (75002),420 000 €,2,1 ch.,35,Paris 2ème
Paris 19 (75019),420 000 €,2,1 ch.,42,Paris
Paris 12 (75012),420 000 €,2,1 ch.,38,Paris 12ème
Paris 03 (75003),420 000 €,1,,33,Arts et Métiers
Paris 17 (75017),420 000 €,2,1 ch.,34,Paris
Paris 18 (75018),420 000 €,2,1 ch.,30,Paris 18ème
Paris 03 (75003),420 000 €,1,,28,Filles du Calvaire
Paris 16 (75016),420 000 €,2,1 ch.,31,Paris
Paris 18 (75018),420 000 €,3,2 ch.,65,Paris
Paris 19 (75019),420 000 €,2,1 ch.,52,Paris 19ème
,420 000 €,2,1 ch.,40,
Paris 06 (75006),420 000 €,2,1 ch.,43,Paris 6ème
Paris 20 (75020),420 600 €,2,1 ch.,44,Paris
Paris (75020),421 000 €,2,1 ch.,40,
Paris 16 (75016),422 000 €,1,,39,Paris
Paris 17 (75017),675 000 €,4,2 ch.,72,
Paris 16 (75016),422 000 €,1,,39,Paris
Paris 19 (75019),422 000 €,2,1 ch.,39,Paris 19ème
Paris 20 (75020),423 000 €,2,1 ch.,38,
Paris 11 (75011),424 000 €,2,1 ch.,34,
Paris 20ème (75020),425 000 €,2,,45,
Paris 16 (75016),425 000 €,2,1 ch.,31,Paris
Paris 05 (75005),425 000 €,1,,30,Val de Grâce
Paris 16 (75016),425 000 €,1,,35,Paris
Paris (75013),425 000 €,2,1 ch.,40,
Paris 03 (75003),425 000 €,2,1 ch.,34,Paris 3ème
Paris 16 (75016),427 000 €,1,,32,Paris
Paris 15 (75015),427 000 €,2,1 ch.,33,Convention
Paris 14 (75014),427 000 €,2,1 ch.,40,Paris
Paris 04 (75004),428 000 €,1,,32,Paris
,428 000 €,2,1 ch.,44,
Paris 13ème (75013),428 000 €,1,,34,
Paris 15 (75015),428 400 €,2,1 ch.,37,Paris 15ème
Paris 15 (75015),428 400 €,2,1 ch.,37,75015
Paris 19 (75019),429 000 €,3,2 ch.,69,Paris
Paris (75016),429 000 €,3,1 ch.,65,Paris
Paris 20 (75020),420 000 €,2,1 ch.,42,
Paris 05 (75005),430 000 €,1,,30,Paris 5ème
Paris (75018),430 000 €,1,,40,
Paris 19 (75019),430 000 €,2,1 ch.,41,
Paris 20 (75020),430 000 €,2,1 ch.,47,Paris 20eme Arr.
Paris 09 (75009),430 500 €,2,1 ch.,35,Paris 9ème
Paris 16 (75016),431 000 €,1,,39,Paris
Paris 15ème (75015),431 000 €,1,,30,
Paris 17 (75017),432 000 €,2,1 ch.,36,"Métro: Courssel Où Vagrame Bus: N°84, 31 et 30 Marché Poncelet Pour Produits de Luxe"
Paris 15 (75015),434 000 €,2,1 ch.,35,Paris
Paris 15 (75015),434 990 €,2,1 ch.,36,
Paris 15 (75015),435 000 €,2,1 ch.,42,Métro Porte de Versailles
Paris 13ème (75013),435 000 €,1,,34,
Paris 15 (75015),435 000 €,2,1 ch.,42,
Paris 18 (75018),435 000 €,2,1 ch.,34,Paris 18ème
Paris 20 (75020),435 000 €,2,1 ch.,41,Paris 20ème
Paris 05 (75005),435 000 €,1,,30,Jardin des Plantes
Paris 09 (75009),435 000 €,2,1 ch.,32,Paris 9ème
Paris 17 (75017),435 000 €,2,1 ch.,37,Rome|Place Clichy|la Fourche
Paris 15 (75015),435 990 €,2,1 ch.,36,Paris 15ème
Paris 18 (75018),436 000 €,2,1 ch.,46,Montmartre
Paris 19 (75019),745 000 €,4,3 ch.,77,
Paris 15 (75015),435 990 €,2,1 ch.,36,Paris 15ème
Paris 17 (75017),436 000 €,2,1 ch.,32,
Paris 18 (75018),436 000 €,2,1 ch.,46,Montmartre
Paris 15 (75015),437 000 €,2,1 ch.,35,Paris 15e Arrondissement
Paris 15 (75015),437 000 €,2,1 ch.,35,Convention
Paris 15 (75015),437 000 €,3,2 ch.,51,Paris
Paris 07 (75007),438 000 €,1,,27,Paris 7ème
Paris 02 (75002),439 000 €,2,1 ch.,37,Paris
Paris 02 (75002),439 000 €,2,1 ch.,37,Paris 2ème
Paris 03 (75003),439 000 €,2,1 ch.,37,Paris
Paris 13 (75013),439 000 €,3,2 ch.,43,Paris
Paris 02 (75002),439 000 €,2,1 ch.,37,Paris
Paris 03 (75003),439 000 €,2,1 ch.,37,Paris 3ème
Paris 03 (75003),439 000 €,2,1 ch.,37,
Paris 16 (75016),439 000 €,2,1 ch.,40,Paris
Paris 15 (75015),439 900 €,3,,36,Saint-Lambert
Paris 06 (75006),440 000 €,2,,33,Notre Dame des Champs
Paris 04 (75004),440 000 €,1,,37,Saint-Paul
Paris 13ème (75013),440 000 €,1,,34,
Paris 13 (75013),440 000 €,2,1 ch.,42,Croulbarde
Paris 18 (75018),450 000 €,3,2 ch.,51,Paris
Paris 15 (75015),440 000 €,2,1 ch.,36,Convention
Paris 07 (75007),440 000 €,1,,27,Tour Eiffel
Paris 20 (75020),440 000 €,4,3 ch.,82,Paris 20ème
Paris 19 (75019),440 000 €,2,1 ch.,55,Paris 19ème
Paris 19 (75019),440 000 €,2,1 ch.,49,Paris 19ème
Paris 13 (75013),440 000 €,2,1 ch.,34,Paris
Paris 15 (75015),440 000 €,2,1 ch.,35,Paris 15ème
Paris 20 (75020),440 000 €,2,1 ch.,49,Paris 20ème
Paris 14 (75014),440 000 €,1,,32,Paris 14ème
Paris 16 (75116),441 000 €,1,,39,Paris
Paris 14 (75014),442 000 €,1,,29,
Paris 16 (75016),443 000 €,2,1 ch.,36,Paris
Paris 14 (75014),443 000 €,1,,30,Paris 14ème
Paris 14 (75014),443 000 €,1,,30,Paris 14ème
Paris 14 (75014),443 000 €,1,,30,Paris 14ème
Paris 14 (75014),443 000 €,1,,30,Paris
Paris 15 (75015),444 000 €,1,,31,Paris 15ème
Paris 15 (75015),444 000 €,2,1 ch.,36,Paris 15ème
Paris 13ème (75013),444 000 €,1,,34,
Paris 10 (75010),445 000 €,2,1 ch.,35,Paris 10ème
Paris 14 (75014),598 000 €,3,2 ch.,67,
Paris 10 (75010),445 000 €,2,1 ch.,35,Paris 10ème
,445 000 €,2,1 ch.,43,
Paris 15 (75015),445 000 €,2,1 ch.,43,Paris
,445 000 €,1,,32,
Paris 18 (75018),445 000 €,3,2 ch.,49,Paris
Paris 11 (75011),445 000 €,2,1 ch.,29,
Paris 09 (75009),445 000 €,2,1 ch.,37,Paris 9eme Arrondissement
Paris 18 (75018),445 000 €,2,1 ch.,37,Paris 18ème
Paris 13 (75013),445 000 €,2,,44,Paris 13
Paris 20 (75020),445 000 €,2,1 ch.,52,Paris
Paris 02 (75002),445 000 €,2,1 ch.,30,Les Halles
Paris 10 (75010),445 000 €,3,1 ch.,35,Paris 10
Paris 15 (75015),445 000 €,2,1 ch.,41,Cambronne
Paris 15 (75015),445 000 €,1,,36,
Paris 13 (75013),446 000 €,1,,30,Paris 13ème
Paris 13 (75013),446 000 €,1,,30,Paris 13ème
Paris 13 (75013),446 000 €,1,,30,Paris 13ème
Paris 13 (75013),446 000 €,1,,30,Paris 13ème
Paris 15 (75015),447 500 €,2,1 ch.,40,Paris 15e Arrondissement
Paris 11 (75011),448 000 €,2,1 ch.,36,Paris 11ème
Paris 20 (75020),587 000 €,3,2 ch.,69,
Paris 15 (75015),448 000 €,2,1 ch.,36,Métro Convention
Paris 15 (75015),449 000 €,2,1 ch.,38,
Paris 05 (75005),449 000 €,2,1 ch.,38,Paris 5ème
,449 000 €,3,2 ch.,53,
Paris 11 (75011),449 000 €,2,1 ch.,40,
Paris 15 (75015),449 500 €,2,1 ch.,35,Paris
Paris 20 (75020),450 000 €,3,2 ch.,73,Paris 20ème
Paris 01 (75001),450 000 €,2,1 ch.,26,Paris
Paris 15 (75015),450 000 €,2,1 ch.,46,Plaisance
Paris 07 (75007),450 000 €,2,1 ch.,30,Paris
Paris 20ème (75020),450 000 €,2,,48,
Paris 06 (75006),450 000 €,2,1 ch.,30,Paris
Paris 14 (75014),450 000 €,2,1 ch.,32,Paris
Paris 06 (75006),450 000 €,1,,32,Paris 6ème
Paris 20 (75020),450 000 €,3,2 ch.,73,Paris 20
Paris 14 (75014),450 000 €,2,1 ch.,31,Paris
Paris 20 (75020),450 000 €,3,2 ch.,43,Paris 20ème
Paris 05 (75005),450 000 €,1,,27,Monge
Paris 15 (75015),450 000 €,1,,30,Paris
Paris 12 (75012),450 000 €,2,1 ch.,47,Paris
Paris 14 (75014),650 000 €,1,,49,Paris
Paris 20ème (75020),450 000 €,2,,48,
Paris 18 (75018),450 000 €,3,2 ch.,51,Paris
Paris 15 (75015),450 000 €,2,1 ch.,36,"Commerces, Métro"
Paris 10 (75010),450 500 €,2,1 ch.,41,Paris 10ème
Paris 20 (75020),451 500 €,2,1 ch.,50,
Paris 18 (75018),451 500 €,3,2 ch.,51,Paris
Paris 15 (75015),452 000 €,1,,37,Paris
Paris 13 (75013),452 400 €,2,1 ch.,52,Bibliothèque F. Mitterrand
Paris 13 (75013),452 400 €,2,1 ch.,51,Paris
Paris 13 (75013),452 400 €,2,1 ch.,52,Bibliothèque F. Mitterrand
Paris 10 (75010),454 000 €,1,1 ch.,30,Paris 10ème
Paris 15ème (75015),454 000 €,1,,32,
Paris 12 (75012),455 000 €,2,1 ch.,44,Picpus
Paris 20 (75020),455 000 €,2,1 ch.,48,Paris
Paris 18 (75018),456 000 €,2,1 ch.,42,"Guy Moquet, Ordener"
Paris 15ème (75015),457 000 €,1,,31,
Paris 20 (75020),457 500 €,2,1 ch.,45,Paris 20ème
Paris 15 (75015),457 990 €,2,1 ch.,36,Paris
Paris 20 (75020),458 000 €,2,1 ch.,45,Paris 20ème
Paris 18 (75018),459 000 €,2,1 ch.,49,
Paris 14 (75014),650 000 €,1,,49,Paris
Paris 09 (75009),459 000 €,1,,29,Paris 9ème
Paris 19 (75019),459 800 €,2,1 ch.,42,Buttes Chaumont
Paris 11 (75011),460 000 €,2,1 ch.,40,
Paris 03 (75003),460 000 €,2,1 ch.,30,Paris 3ème
Paris 10 (75010),460 000 €,1,,35,Paris
Paris (75018),460 000 €,2,,45,
Paris 12 (75012),460 000 €,2,1 ch.,42,Paris 12ème
Paris 12 (75012),460 000 €,2,1 ch.,42,
Paris 03 (75003),460 950 €,2,1 ch.,29,
Paris 17 (75017),461 000 €,3,2 ch.,68,Paris 17ème
Paris 17 (75017),461 000 €,3,2 ch.,68,
Paris 13 (75013),462 000 €,1,,33,Paris 13ème
Paris 13 (75013),462 000 €,1,,30,Paris 13ème
Paris 13 (75013),462 000 €,1,,33,Paris
Paris 05 (75005),463 500 €,1,,34,Paris 5ème
Paris 13 (75013),464 000 €,2,1 ch.,39,Saint Marcel
Paris 16 (75016),465 000 €,2,1 ch.,45,Paris
Paris 20 (75020),465 000 €,2,1 ch.,45,
Paris 12 (75012),465 000 €,2,1 ch.,45,Paris 12ème
Paris 20 (75020),465 000 €,2,1 ch.,45,Paris
Paris 19 (75019),399 000 €,2,1 ch.,46,
Paris (75018),467 000 €,2,,45,
Paris 12 (75012),467 000 €,2,1 ch.,42,Paris 12ème
Paris (75012),467 000 €,2,,42,
Paris 12 (75012),467 000 €,2,1 ch.,42,
Paris 13ème (75013),467 000 €,1,,35,
Paris 12ème (75012),467 000 €,2,,42,
Paris 12 (75012),467 000 €,2,1 ch.,42,Paris 12ème
Paris 14 (75014),468 000 €,2,1 ch.,45,Porte de Chatillon
Paris 20 (75020),468 000 €,2,1 ch.,45,Paris
Paris 19 (75019),468 000 €,3,2 ch.,52,Paris 19ème
Paris 13ème (75013),469 000 €,1,,35,
Paris 20 (75020),470 000 €,3,2 ch.,49,
Paris 16 (75016),470 000 €,1,,25,Paris
Paris 13 (75013),470 000 €,2,1 ch.,43,Paris
Paris 15 (75015),470 000 €,2,1 ch.,35,Paris 15ème
,470 000 €,2,1 ch.,48,
,470 000 €,2,1 ch.,39,
Paris 20 (75020),470 000 €,2,1 ch.,49,
Paris 15 (75015),470 000 €,2,1 ch.,36,Paris
Paris 11 (75011),472 000 €,1,1 ch.,46,
Paris 14 (75014),450 000 €,2,1 ch.,31,Paris
Paris 06 (75006),472 000 €,2,1 ch.,32,Paris
Paris 15 (75015),472 500 €,2,1 ch.,36,Paris 15ème
Paris 15 (75015),472 500 €,2,1 ch.,36,Convension
Paris 04 (75004),473 000 €,2,1 ch.,42,Hôtel de Ville
Paris 13 (75013),473 000 €,3,2 ch.,61,
Paris 13 (75013),473 000 €,4,2 ch.,61,
Paris 13ème (75013),473 000 €,1,,35,
Paris 18 (75018),474 000 €,2,1 ch.,45,Paris
Paris 19 (75019),475 000 €,2,1 ch.,44,Mouzaia
Paris 13 (75013),475 000 €,3,2 ch.,68,Paris 13e Arrondissement
Paris 17 (75017),475 000 €,2,1 ch.,41,Paris
Paris 14 (75014),475 000 €,2,1 ch.,42,
Paris 16 (75016),475 000 €,2,1 ch.,40,Paris
Paris 16 (75016),475 000 €,2,1 ch.,39,Paris
Paris 11 (75011),475 000 €,2,1 ch.,40,Paris
Paris 14 (75014),475 000 €,2,1 ch.,47,Paris
Paris 03 (75003),475 000 €,,,31,Paris 3ème
Paris 14 (75014),475 000 €,2,1 ch.,43,Paris
Paris 12 (75012),477 000 €,2,1 ch.,40,Paris 12ème
Paris 13ème (75013),477 300 €,1,,35,
Paris 19 (75019),745 000 €,4,3 ch.,77,
Paris 13 (75013),475 000 €,3,2 ch.,68,Paris 13e Arrondissement
Paris 12 (75012),477 000 €,2,1 ch.,40,Paris 12ème
Paris 13ème (75013),477 300 €,1,,35,
Paris 12 (75012),478 000 €,2,1 ch.,42,Paris 12ème
Paris 19ème (75019),478 000 €,2,,43,
Paris 12ème (75012),478 000 €,2,,42,
Paris (75012),478 000 €,2,,42,
Paris 19 (75019),478 000 €,2,1 ch.,43,Paris 19ème
Paris 11 (75011),479 000 €,2,1 ch.,37,Paris 11ème
Paris 18 (75018),479 000 €,3,2 ch.,51,
Paris 08 (75008),479 000 €,1,1 ch.,32,
Paris 04 (75004),479 000 €,1,,30,Paris 4ème
Paris 19 (75019),479 500 €,3,2 ch.,51,Paris
Paris 14 (75014),480 000 €,2,1 ch.,43,Mouton Duvernet
Paris 16 (75016),480 000 €,3,2 ch.,80,Paris
Paris 15 (75015),480 000 €,2,1 ch.,38,Paris
Paris 16 (75016),480 000 €,2,1 ch.,46,Paris
Paris 11 (75011),480 000 €,2,1 ch.,35,Paris 11ème
Paris 12 (75012),480 000 €,2,1 ch.,42,Paris 12
Paris 08 (75008),480 000 €,2,,26,Paris 8ème
Paris 14 (75014),598 000 €,3,2 ch.,67,
Paris 14 (75014),480 000 €,2,1 ch.,36,Paris
Paris 14 (75014),481 750 €,3,2 ch.,66,
Paris 19ème (75019),482 000 €,2,,43,
Paris 13 (75013),482 000 €,3,2 ch.,51,Paris
Paris 19 (75019),482 000 €,2,1 ch.,40,"Paris, 75019"
Paris 17 (75017),482 664 €,1,1 ch.,34,Paris 17ème
,483 000 €,2,1 ch.,53,
Paris 06 (75006),483 000 €,1,,28,Paris 6ème
Paris 18 (75018),483 000 €,4,3 ch.,54,Paris 18ème
Paris 12 (75012),483 000 €,2,1 ch.,45,Paris 12ème
Paris 12 (75012),483 000 €,2,1 ch.,45,Paris 12ème
Paris 12 (75012),483 000 €,2,1 ch.,45,Paris 12ème
Paris 02 (75002),483 000 €,2,1 ch.,35,Paris 2ème
Paris (75018),483 000 €,2,,44,
Paris 14 (75014),483 000 €,2,1 ch.,40,Paris
,484 575 €,2,1 ch.,47,
Paris 19 (75019),485 000 €,3,2 ch.,42,Paris
Paris 16 (75116),485 000 €,2,1 ch.,44,Paris
Paris 17 (75017),485 000 €,2,1 ch.,44,Batignolles
Paris 06 (75006),485 000 €,2,1 ch.,27,Paris
Paris 14 (75014),450 000 €,2,1 ch.,31,Paris
Paris 12 (75012),485 000 €,2,1 ch.,45,Paris 12ème
Paris 17 (75017),485 000 €,2,1 ch.,44,Batignolles
Paris 16 (75116),485 000 €,2,1 ch.,44,Paris
Paris 16 (75016),485 000 €,2,1 ch.,40,Paris
Paris 13 (75013),486 000 €,1,,33,Paris 13ème
Paris 13 (75013),486 000 €,1,,33,Paris 13ème
Paris 15 (75015),487 000 €,1,,45,Paris 15eme Arrondissement
Paris 02 (75002),487 600 €,2,1 ch.,35,Paris 2ème
Paris (75018),488 000 €,2,,45,
Paris 18 (75018),488 000 €,3,2 ch.,62,Montmartre
Paris 20 (75020),488 000 €,3,2 ch.,46,Paris 20ème
Paris 20 (75020),488 000 €,3,2 ch.,44,Paris
Paris 11 (75011),488 000 €,2,1 ch.,35,Paris
Paris 10 (75010),488 000 €,2,1 ch.,51,Paris 10
Paris 18 (75018),488 800 €,2,1 ch.,37,Paris
Paris 20 (75020),489 000 €,3,2 ch.,62,Paris 20ème
Paris 08 (75008),489 000 €,2,1 ch.,38,Paris
Paris 03 (75003),490 000 €,2,,56,Paris 3eme Arrondissement
Paris 04 (75004),490 000 €,1,,29,Paris
Paris 11 (75011),490 000 €,2,1 ch.,49,Paris 11ème
Paris 19 (75019),745 000 €,4,3 ch.,77,
Paris 06 (75006),490 000 €,2,1 ch.,30,Carrefour Buci
Paris 18 (75018),490 000 €,2,1 ch.,50,Paris 18eme Arrondissement
Paris 03 (75003),490 000 €,2,,56,Paris 3eme Arrondissement
Paris 11 (75011),490 000 €,2,1 ch.,49,Paris 11ème
Paris 16 (75016),492 000 €,1,,41,Paris
Paris 16 (75116),492 000 €,2,,41,Paris
Paris (75018),492 000 €,2,,45,
Paris 16 (75016),492 000 €,1,1 ch.,41,Paris
Paris 18 (75018),493 000 €,3,2 ch.,50,
Paris 19ème (75019),493 000 €,2,,46,
Paris 19 (75019),493 500 €,3,2 ch.,66,Crimée
Paris 16 (75016),493 500 €,2,1 ch.,42,Paris
Paris 14 (75014),495 000 €,2,1 ch.,34,Paris 14ème
Paris 05 (75005),495 000 €,2,1 ch.,33,Paris 05
Paris 13 (75013),495 000 €,1,1 ch.,43,Paris
Paris 11 (75011),495 000 €,3,2 ch.,46,Paris
Paris 08 (75008),495 000 €,1,,35,Paris 8ème
,495 000 €,2,1 ch.,46,
Paris 06 (75006),495 000 €,2,1 ch.,30,Paris 6ème
Paris 14 (75014),495 000 €,2,1 ch.,35,Paris 14ème
Paris 16 (75016),1 698 000 €,5,4 ch.,138,Paris
Paris 13 (75013),495 000 €,1,1 ch.,43,Paris
Paris 10 (75010),495 000 €,2,1 ch.,43,
Paris 15 (75015),495 000 €,2,,54,Paris 15ème
Paris 13 (75013),496 000 €,2,1 ch.,39,Paris 13
Paris 16 (75016),496 000 €,3,2 ch.,43,Paris
Paris 10 (75010),498 000 €,2,1 ch.,29,Paris
Paris 12 (75012),498 000 €,2,1 ch.,42,Paris 12ème
Paris 07 (75007),498 000 €,1,,28,Paris 7ème
Paris 19ème (75019),498 000 €,2,,47,
Paris 13 (75013),498 000 €,3,2 ch.,48,Place d'Italie
Paris 12 (75012),498 000 €,2,1 ch.,42,Paris 12ème
Paris 06 (75006),498 500 €,1,,20,Paris 6ème
Paris 06 (75006),498 500 €,1,,20,Paris 6ème
Paris 03 (75003),499 000 €,2,1 ch.,28,Paris 3ème
Paris 12 (75012),499 000 €,2,1 ch.,42,
Paris 14 (75014),499 000 €,2,1 ch.,36,
Paris 19ème (75019),499 000 €,2,,46,
Paris 19ème (75019),499 000 €,2,,44,
,499 000 €,2,1 ch.,41,
Paris 12 (75012),499 000 €,2,1 ch.,42,Paris 12ème
Paris 20 (75020),587 000 €,3,2 ch.,69,
Paris 19ème (75019),499 000 €,2,,46,
Paris 03 (75003),499 000 €,2,1 ch.,28,Paris 3ème
Paris 11 (75011),499 000 €,2,1 ch.,48,Folie-Méricourt
Paris 14 (75014),499 000 €,2,1 ch.,36,Paris 14ème
Paris 15 (75015),499 800 €,2,1 ch.,55,Paris
Paris 18 (75018),499 800 €,3,2 ch.,48,
Paris 19 (75019),500 000 €,2,1 ch.,49,Paris 19ème
Paris 18 (75018),500 000 €,2,1 ch.,53,Paris
Paris 18 (75018),500 000 €,3,2 ch.,62,Paris
Paris 08 (75008),500 000 €,3,,59,Paris
Paris 18 (75018),500 000 €,3,2 ch.,65,
Paris 15 (75015),500 000 €,1,,43,Paris 15eme Arrondissement
Paris 17 (75017),500 000 €,2,1 ch.,35,Paris
Paris 16 (75016),500 000 €,2,1 ch.,60,Paris
Paris 19ème (75019),500 000 €,2,,49,
Paris 09 (75009),500 000 €,3,2 ch.,42,
Paris 17 (75017),500 000 €,2,1 ch.,48,Paris 17ème
Paris (75018),502 000 €,2,,45,
Paris 19ème (75019),504 000 €,2,,44,
Paris (75012),504 000 €,2,,42,
Paris 14 (75014),650 000 €,1,,49,Paris
Paris 19ème (75019),504 000 €,2,,46,
Paris 12ème (75012),504 000 €,2,,42,
Paris 18 (75018),504 000 €,2,1 ch.,45,Paris 18ème
Paris 19ème (75019),504 000 €,2,,47,
Paris 12 (75012),504 000 €,2,1 ch.,42,Paris 12ème
Paris 12 (75012),504 000 €,2,1 ch.,42,
Paris 19 (75019),505 000 €,4,2 ch.,90,Paris 19eme Arrondissement
Paris 18 (75018),505 000 €,2,1 ch.,52,Château Rouge
Paris 14 (75014),505 000 €,2,1 ch.,36,Edgard Quinet
Paris 18 (75018),505 000 €,2,1 ch.,52,Château Rouge
Paris 15 (75015),505 000 €,2,1 ch.,45,Saint Lambert
Paris 15 (75015),505 000 €,2,1 ch.,44,
Paris 19ème (75019),507 000 €,2,,53,
Paris 04 (75004),508 000 €,1,1 ch.,24,Paris
Paris 04 (75004),508 800 €,1,1 ch.,32,
Paris 19 (75019),509 000 €,3,1 ch.,60,
Paris 20 (75020),509 000 €,3,2 ch.,52,Paris 20ème
Paris 05 (75005),509 000 €,2,1 ch.,31,Secteur Mouffetard-Contrescarpe
Paris 20 (75020),509 250 €,3,2 ch.,52,Paris 20ème
Paris 20ème (75020),510 000 €,3,,66,
Paris 18 (75018),450 000 €,3,2 ch.,51,Paris
Paris 17 (75017),510 000 €,2,1 ch.,48,Pereire|Bayen
Paris 02 (75002),510 000 €,2,1 ch.,30,Paris 2ème
Paris 12 (75012),510 000 €,2,1 ch.,50,Paris 12ème
Paris 18 (75018),510 000 €,3,2 ch.,62,La Goutte d'Or
Paris 06 (75006),510 000 €,1,,26,Paris
Paris 19ème (75019),510 000 €,2,,47,
Paris 17 (75017),510 000 €,2,1 ch.,43,Paris 17ème
Paris 17 (75017),510 000 €,3,2 ch.,49,Paris
Paris 14 (75014),511 000 €,2,1 ch.,48,Plaisance
Paris 14 (75014),511 000 €,2,1 ch.,49,Village Didot
Paris 15 (75015),511 000 €,2,1 ch.,41,Paris 15ème
Paris 19ème (75019),512 000 €,2,,51,
Paris 05 (75005),512 000 €,2,1 ch.,31,Paris 5ème
Paris 08 (75008),514 900 €,2,1 ch.,40,Paris 8eme Arrondissement
Paris (75012),515 000 €,2,,42,
Paris 15 (75015),515 000 €,4,3 ch.,74,Paris 15ème
Paris 18 (75018),515 000 €,3,2 ch.,50,Paris 18eme Arr.
Paris 01 (75001),515 000 €,2,1 ch.,36,Paris
Paris 15 (75015),515 000 €,2,1 ch.,52,Paris 15ème
Paris 12ème (75012),515 000 €,2,,42,
Paris 14 (75014),450 000 €,2,1 ch.,31,Paris
Paris 20ème (75020),515 000 €,3,,64,
Paris 15 (75015),515 000 €,2,1 ch.,35,Paris
Paris 20 (75020),515 000 €,2,1 ch.,47,Paris
Paris 20 (75020),515 000 €,2,1 ch.,47,Paris 20ème
Paris 15 (75015),515 000 €,2,1 ch.,47,Convention
Paris 07 (75007),515 000 €,2,1 ch.,38,
Paris 07 (75007),516 000 €,2,1 ch.,39,Paris 7ème
Paris (75018),517 000 €,2,,52,
Paris 07 (75007),517 293 €,1,,35,Paris
Paris (75018),518 000 €,2,,52,
Paris 06 (75006),518 000 €,2,1 ch.,28,Odeon
Paris 13ème (75013),518 000 €,1,,40,
Paris 11 (75011),518 000 €,2,1 ch.,48,
Paris 20 (75020),519 000 €,2,1 ch.,56,A 300 Mètres du Cimetière du Père Lachaise
Paris 17 (75017),520 000 €,2,1 ch.,61,Porte d'Asnière
Paris 18 (75018),520 000 €,3,2 ch.,62,Paris 18ème
Paris 06 (75006),520 000 €,1,1 ch.,28,Paris
Paris 13 (75013),520 000 €,1,,34,Paris 13ème
